Company,Ticker
American Express Company,AXP
The Boeing Company,BA
Caterpillar Inc.,CAT
"Cisco Systems, Inc.",CSCO
Chevron Corporation,CVX
E. I. du Pont de Nemours and Company,DD
The Walt Disney Company,DIS
General Electric Company,GE
"The Goldman Sachs Group, Inc.",GS
"The Home Depot, Inc.",HD
International Business Machines Corporation,IBM
Intel Corporation,INTC
Johnson & Johnson,JNJ
JPMorgan Chase & Co.,JPM
The Coca-Cola Company,KO
McDonald's Corp.,MCD
3M Company,MMM
Merck & Co. Inc.,MRK
Microsoft Corporation,MSFT
"Nike, Inc.",NKE
Pfizer Inc.,PFE
The Procter & Gamble Company,PG
"AT&T, Inc.",T
"The Travelers Companies, Inc.",TRV
UnitedHealth Group Incorporated,UNH
United Technologies Corp.,UTX
Visa Inc.,V
Verizon Communications Inc.,VZ
Wal-Mart Stores Inc.,WMT
Exxon Mobil Corporation,XOM
