Date,PSX,Price
2004-01-09,100,
2004-01-16,91,
2004-01-23,93,
2004-01-30,81,
2004-02-06,79,
2004-02-13,79,
2004-02-20,76,
2004-02-27,74,
2004-03-05,62,
2004-03-12,71,
2004-03-19,68,
2004-03-26,76,
2004-04-02,61,
2004-04-09,65,
2004-04-16,67,
2004-04-23,57,
2004-04-30,62,
2004-05-07,59,
2004-05-14,55,
2004-05-21,60,
2004-05-28,56,
2004-06-04,61,
2004-06-11,58,
2004-06-18,60,
2004-06-25,66,
2004-07-02,64,
2004-07-09,66,
2004-07-16,68,
2004-07-23,64,
2004-07-30,65,
2004-08-06,66,
2004-08-13,63,
2004-08-20,61,
2004-08-27,64,
2004-09-03,61,
2004-09-10,66,
2004-09-17,64,
2004-09-24,61,
2004-10-01,60,
2004-10-08,57,
2004-10-15,59,
2004-10-22,56,
2004-10-29,59,
2004-11-05,55,
2004-11-12,63,
2004-11-19,54,
2004-11-26,55,
2004-12-03,53,
2004-12-10,55,
2004-12-17,60,
2004-12-24,63,
2004-12-31,69,
2005-01-07,61,
2005-01-14,50,
2005-01-21,49,
2005-01-28,45,
2005-02-04,47,
2005-02-11,47,
2005-02-18,43,
2005-02-25,46,
2005-03-04,45,
2005-03-11,41,
2005-03-18,44,
2005-03-25,47,
2005-04-01,48,
2005-04-08,43,
2005-04-15,40,
2005-04-22,37,
2005-04-29,39,
2005-05-06,39,
2005-05-13,38,
2005-05-20,40,
2005-05-27,39,
2005-06-03,37,
2005-06-10,35,
2005-06-17,36,
2005-06-24,38,
2005-07-01,38,
2005-07-08,38,
2005-07-15,40,
2005-07-22,39,
2005-07-29,40,
2005-08-05,41,
2005-08-12,39,
2005-08-19,38,
2005-08-26,36,
2005-09-02,37,
2005-09-09,33,
2005-09-16,36,
2005-09-23,36,
2005-09-30,34,
2005-10-07,35,
2005-10-14,36,
2005-10-21,33,
2005-10-28,34,
2005-11-04,34,
2005-11-11,35,
2005-11-18,31,
2005-11-25,34,
2005-12-02,31,
2005-12-09,34,
2005-12-16,35,
2005-12-23,41,
2005-12-30,47,
2006-01-06,39,
2006-01-13,31,
2006-01-20,33,
2006-01-27,32,
2006-02-03,33,
2006-02-10,30,
2006-02-17,31,
2006-02-24,32,
2006-03-03,31,
2006-03-10,29,
2006-03-17,30,
2006-03-24,29,
2006-03-31,28,
2006-04-07,28,
2006-04-14,32,
2006-04-21,30,
2006-04-28,28,
2006-05-05,31,
2006-05-12,29,
2006-05-19,26,
2006-05-26,29,
2006-06-02,28,
2006-06-09,25,
2006-06-16,27,
2006-06-23,29,
2006-06-30,28,
2006-07-07,30,
2006-07-14,29,
2006-07-21,33,
2006-07-28,30,
2006-08-04,28,
2006-08-11,29,
2006-08-18,31,
2006-08-25,29,
2006-09-01,27,
2006-09-08,27,
2006-09-15,25,
2006-09-22,26,
2006-09-29,28,
2006-10-06,26,
2006-10-13,25,
2006-10-20,25,
2006-10-27,25,
2006-11-03,26,
2006-11-10,28,
2006-11-17,25,
2006-11-24,27,
2006-12-01,28,
2006-12-08,27,
2006-12-15,25,
2006-12-22,32,
2006-12-29,67,
2007-01-05,55,
2007-01-12,40,
2007-01-19,35,
2007-01-26,36,
2007-02-02,34,
2007-02-09,36,
2007-02-16,34,
2007-02-23,34,
2007-03-02,29,
2007-03-09,29,
2007-03-16,30,
2007-03-23,28,
2007-03-30,28,
2007-04-06,32,
2007-04-13,31,
2007-04-20,28,
2007-04-27,28,
2007-05-04,31,
2007-05-11,29,
2007-05-18,29,
2007-05-25,28,
2007-06-01,30,
2007-06-08,28,
2007-06-15,28,
2007-06-22,30,
2007-06-29,31,
2007-07-06,30,
2007-07-13,32,
2007-07-20,32,
2007-07-27,32,
2007-08-03,34,
2007-08-10,30,
2007-08-17,30,
2007-08-24,27,
2007-08-31,29,
2007-09-07,26,
2007-09-14,27,
2007-09-21,27,
2007-09-28,26,
2007-10-05,27,
2007-10-12,26,
2007-10-19,27,
2007-10-26,27,
2007-11-02,31,
2007-11-09,26,
2007-11-16,25,
2007-11-23,32,
2007-11-30,30,
2007-12-07,30,
2007-12-14,29,
2007-12-21,33,
2007-12-28,48,
2008-01-04,40,
2008-01-11,33,
2008-01-18,30,
2008-01-25,33,
2008-02-01,31,
2008-02-08,32,
2008-02-15,30,
2008-02-22,29,
2008-02-29,29,
2008-03-07,29,
2008-03-14,29,
2008-03-21,33,
2008-03-28,30,
2008-04-04,30,
2008-04-11,29,
2008-04-18,29,
2008-04-25,30,
2008-05-02,29,
2008-05-09,27,
2008-05-16,29,
2008-05-23,28,
2008-05-30,29,
2008-06-06,28,
2008-06-13,28,
2008-06-20,30,
2008-06-27,32,
2008-07-04,32,
2008-07-11,33,
2008-07-18,33,
2008-07-25,35,
2008-08-01,33,
2008-08-08,33,
2008-08-15,33,
2008-08-22,32,
2008-08-29,31,
2008-09-05,28,
2008-09-12,27,
2008-09-19,27,
2008-09-26,29,
2008-10-03,30,
2008-10-10,26,
2008-10-17,28,
2008-10-24,28,
2008-10-31,27,
2008-11-07,25,
2008-11-14,25,
2008-11-21,25,
2008-11-28,28,
2008-12-05,27,
2008-12-12,30,
2008-12-19,29,
2008-12-26,37,
2009-01-02,38,
2009-01-09,31,
2009-01-16,30,
2009-01-23,30,
2009-01-30,31,
2009-02-06,30,
2009-02-13,29,
2009-02-20,30,
2009-02-27,29,
2009-03-06,28,
2009-03-13,27,
2009-03-20,28,
2009-03-27,26,
2009-04-03,28,
2009-04-10,30,
2009-04-17,29,
2009-04-24,27,
2009-05-01,27,
2009-05-08,27,
2009-05-15,27,
2009-05-22,27,
2009-05-29,25,
2009-06-05,27,
2009-06-12,29,
2009-06-19,27,
2009-06-26,28,
2009-07-03,29,
2009-07-10,31,
2009-07-17,29,
2009-07-24,30,
2009-07-31,31,
2009-08-07,32,
2009-08-14,30,
2009-08-21,29,
2009-08-28,30,
2009-09-04,28,
2009-09-11,26,
2009-09-18,25,
2009-09-25,24,
2009-10-02,23,
2009-10-09,22,
2009-10-16,24,
2009-10-23,23,
2009-10-30,23,
2009-11-06,22,
2009-11-13,22,
2009-11-20,22,
2009-11-27,24,
2009-12-04,22,
2009-12-11,23,
2009-12-18,24,
2009-12-25,30,
2010-01-01,32,
2010-01-08,26,
2010-01-15,24,
2010-01-22,23,
2010-01-29,23,
2010-02-05,23,
2010-02-12,22,
2010-02-19,25,
2010-02-26,22,
2010-03-05,20,
2010-03-12,22,
2010-03-19,22,
2010-03-26,22,
2010-04-02,25,
2010-04-09,22,
2010-04-16,20,
2010-04-23,20,
2010-04-30,19,
2010-05-07,21,
2010-05-14,20,
2010-05-21,20,
2010-05-28,21,
2010-06-04,22,
2010-06-11,21,
2010-06-18,21,
2010-06-25,23,
2010-07-02,23,
2010-07-09,23,
2010-07-16,24,
2010-07-23,25,
2010-07-30,29,
2010-08-06,26,
2010-08-13,24,
2010-08-20,26,
2010-08-27,24,
2010-09-03,23,
2010-09-10,25,
2010-09-17,23,
2010-09-24,21,
2010-10-01,20,
2010-10-08,21,
2010-10-15,21,
2010-10-22,21,
2010-10-29,21,
2010-11-05,22,
2010-11-12,20,
2010-11-19,21,
2010-11-26,21,
2010-12-03,21,
2010-12-10,22,
2010-12-17,22,
2010-12-24,26,
2010-12-31,27,
2011-01-07,26,
2011-01-14,26,
2011-01-21,26,
2011-01-28,25,
2011-02-04,24,
2011-02-11,23,
2011-02-18,23,
2011-02-25,23,
2011-03-04,22,
2011-03-11,22,
2011-03-18,22,
2011-03-25,21,
2011-04-01,21,
2011-04-08,22,
2011-04-15,22,
2011-04-22,24,
2011-04-29,23,
2011-05-06,22,
2011-05-13,21,
2011-05-20,21,
2011-05-27,20,
2011-06-03,23,
2011-06-10,20,
2011-06-17,22,
2011-06-24,22,
2011-07-01,22,
2011-07-08,22,
2011-07-15,22,
2011-07-22,23,
2011-07-29,23,
2011-08-05,23,
2011-08-12,24,
2011-08-19,23,
2011-08-26,22,
2011-09-02,21,
2011-09-09,20,
2011-09-16,19,
2011-09-23,19,
2011-09-30,20,
2011-10-07,20,
2011-10-14,19,
2011-10-21,20,
2011-10-28,19,
2011-11-04,20,
2011-11-11,19,
2011-11-18,18,
2011-11-25,19,
2011-12-02,18,
2011-12-09,19,
2011-12-16,20,
2011-12-23,21,
2011-12-30,24,
2012-01-06,21,
2012-01-13,19,
2012-01-20,20,
2012-01-27,21,
2012-02-03,20,
2012-02-10,20,
2012-02-17,19,
2012-02-24,19,
2012-03-02,19,
2012-03-09,18,
2012-03-16,18,
2012-03-23,19,
2012-03-30,19,
2012-04-06,20,
2012-04-13,18,37.00
2012-04-20,17,36.32
2012-04-27,17,34.11
2012-05-04,20,30.16
2012-05-11,17,31.83
2012-05-18,18,31.38
2012-05-25,17,31.30
2012-06-01,18,29.92
2012-06-08,19,32.12
2012-06-15,19,34.90
2012-06-22,20,34.16
2012-06-29,18,33.24
2012-07-06,20,33.37
2012-07-13,20,34.94
2012-07-20,21,35.32
2012-07-27,21,36.52
2012-08-03,20,39.67
2012-08-10,20,40.00
2012-08-17,20,42.77
2012-08-24,19,41.36
2012-08-31,18,42.00
2012-09-07,18,44.26
2012-09-14,18,46.73
2012-09-21,18,46.82
2012-09-28,16,46.37
2012-10-05,16,46.02
2012-10-12,16,43.92
2012-10-19,16,44.64
2012-10-26,17,47.50
2012-11-02,17,46.21
2012-11-09,15,47.41
2012-11-16,16,45.77
2012-11-23,16,49.82
