Date,ZTS,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,
2004-02-13,0,
2004-02-20,0,
2004-02-27,0,
2004-03-05,0,
2004-03-12,0,
2004-03-19,0,
2004-03-26,0,
2004-04-02,0,
2004-04-09,0,
2004-04-16,0,
2004-04-23,0,
2004-04-30,0,
2004-05-07,0,
2004-05-14,0,
2004-05-21,82,
2004-05-28,88,
2004-06-04,92,
2004-06-11,94,
2004-06-18,95,
2004-06-25,97,
2004-07-02,98,
2004-07-09,100,
2004-07-16,92,
2004-07-23,92,
2004-07-30,92,
2004-08-06,91,
2004-08-13,91,
2004-08-20,91,
2004-08-27,91,
2004-09-03,91,
2004-09-10,0,
2004-09-17,0,
2004-09-24,0,
2004-10-01,0,
2004-10-08,0,
2004-10-15,0,
2004-10-22,0,
2004-10-29,0,
2004-11-05,0,
2004-11-12,0,
2004-11-19,0,
2004-11-26,0,
2004-12-03,0,
2004-12-10,0,
2004-12-17,0,
2004-12-24,0,
2004-12-31,0,
2005-01-07,0,
2005-01-14,0,
2005-01-21,0,
2005-01-28,85,
2005-02-04,58,
2005-02-11,66,
2005-02-18,73,
2005-02-25,72,
2005-03-04,90,
2005-03-11,65,
2005-03-18,50,
2005-03-25,51,
2005-04-01,52,
2005-04-08,53,
2005-04-15,54,
2005-04-22,55,
2005-04-29,54,
2005-05-06,49,
2005-05-13,49,
2005-05-20,49,
2005-05-27,49,
2005-06-03,49,
2005-06-10,61,
2005-06-17,67,
2005-06-24,73,
2005-07-01,79,
2005-07-08,85,
2005-07-15,67,
2005-07-22,67,
2005-07-29,67,
2005-08-05,67,
2005-08-12,67,
2005-08-19,54,
2005-08-26,54,
2005-09-02,64,
2005-09-09,0,
2005-09-16,0,
2005-09-23,0,
2005-09-30,0,
2005-10-07,0,
2005-10-14,45,
2005-10-21,47,
2005-10-28,48,
2005-11-04,49,
2005-11-11,50,
2005-11-18,46,
2005-11-25,67,
2005-12-02,37,
2005-12-09,53,
2005-12-16,51,
2005-12-23,51,
2005-12-30,51,
2006-01-06,51,
2006-01-13,36,
2006-01-20,37,
2006-01-27,38,
2006-02-03,41,
2006-02-10,50,
2006-02-17,43,
2006-02-24,43,
2006-03-03,43,
2006-03-10,35,
2006-03-17,42,
2006-03-24,56,
2006-03-31,38,
2006-04-07,32,
2006-04-14,71,
2006-04-21,52,
2006-04-28,37,
2006-05-05,53,
2006-05-12,53,
2006-05-19,43,
2006-05-26,43,
2006-06-02,48,
2006-06-09,47,
2006-06-16,61,
2006-06-23,35,
2006-06-30,35,
2006-07-07,36,
2006-07-14,44,
2006-07-21,48,
2006-07-28,41,
2006-08-04,37,
2006-08-11,37,
2006-08-18,68,
2006-08-25,29,
2006-09-01,66,
2006-09-08,29,
2006-09-15,36,
2006-09-22,51,
2006-09-29,38,
2006-10-06,49,
2006-10-13,32,
2006-10-20,41,
2006-10-27,49,
2006-11-03,39,
2006-11-10,48,
2006-11-17,49,
2006-11-24,48,
2006-12-01,46,
2006-12-08,56,
2006-12-15,29,
2006-12-22,42,
2006-12-29,42,
2007-01-05,43,
2007-01-12,46,
2007-01-19,42,
2007-01-26,29,
2007-02-02,31,
2007-02-09,32,
2007-02-16,48,
2007-02-23,45,
2007-03-02,63,
2007-03-09,47,
2007-03-16,51,
2007-03-23,40,
2007-03-30,38,
2007-04-06,45,
2007-04-13,43,
2007-04-20,41,
2007-04-27,53,
2007-05-04,56,
2007-05-11,47,
2007-05-18,55,
2007-05-25,57,
2007-06-01,52,
2007-06-08,52,
2007-06-15,49,
2007-06-22,50,
2007-06-29,45,
2007-07-06,39,
2007-07-13,33,
2007-07-20,45,
2007-07-27,38,
2007-08-03,63,
2007-08-10,32,
2007-08-17,29,
2007-08-24,64,
2007-08-31,47,
2007-09-07,49,
2007-09-14,33,
2007-09-21,27,
2007-09-28,32,
2007-10-05,52,
2007-10-12,43,
2007-10-19,37,
2007-10-26,22,
2007-11-02,34,
2007-11-09,49,
2007-11-16,54,
2007-11-23,36,
2007-11-30,48,
2007-12-07,38,
2007-12-14,58,
2007-12-21,59,
2007-12-28,51,
2008-01-04,57,
2008-01-11,44,
2008-01-18,43,
2008-01-25,56,
2008-02-01,48,
2008-02-08,37,
2008-02-15,48,
2008-02-22,66,
2008-02-29,39,
2008-03-07,48,
2008-03-14,52,
2008-03-21,42,
2008-03-28,49,
2008-04-04,48,
2008-04-11,48,
2008-04-18,52,
2008-04-25,43,
2008-05-02,41,
2008-05-09,44,
2008-05-16,37,
2008-05-23,54,
2008-05-30,44,
2008-06-06,42,
2008-06-13,33,
2008-06-20,37,
2008-06-27,43,
2008-07-04,44,
2008-07-11,43,
2008-07-18,35,
2008-07-25,36,
2008-08-01,33,
2008-08-08,40,
2008-08-15,40,
2008-08-22,41,
2008-08-29,47,
2008-09-05,46,
2008-09-12,50,
2008-09-19,33,
2008-09-26,52,
2008-10-03,36,
2008-10-10,33,
2008-10-17,34,
2008-10-24,42,
2008-10-31,45,
2008-11-07,48,
2008-11-14,37,
2008-11-21,43,
2008-11-28,52,
2008-12-05,32,
2008-12-12,39,
2008-12-19,54,
2008-12-26,36,
2009-01-02,30,
2009-01-09,43,
2009-01-16,48,
2009-01-23,46,
2009-01-30,52,
2009-02-06,42,
2009-02-13,46,
2009-02-20,38,
2009-02-27,42,
2009-03-06,61,
2009-03-13,41,
2009-03-20,37,
2009-03-27,44,
2009-04-03,46,
2009-04-10,39,
2009-04-17,34,
2009-04-24,61,
2009-05-01,37,
2009-05-08,49,
2009-05-15,44,
2009-05-22,44,
2009-05-29,44,
2009-06-05,38,
2009-06-12,59,
2009-06-19,43,
2009-06-26,37,
2009-07-03,49,
2009-07-10,38,
2009-07-17,53,
2009-07-24,32,
2009-07-31,27,
2009-08-07,36,
2009-08-14,33,
2009-08-21,41,
2009-08-28,46,
2009-09-04,29,
2009-09-11,32,
2009-09-18,26,
2009-09-25,39,
2009-10-02,33,
2009-10-09,44,
2009-10-16,44,
2009-10-23,39,
2009-10-30,39,
2009-11-06,42,
2009-11-13,45,
2009-11-20,34,
2009-11-27,35,
2009-12-04,40,
2009-12-11,34,
2009-12-18,30,
2009-12-25,35,
2010-01-01,40,
2010-01-08,44,
2010-01-15,36,
2010-01-22,41,
2010-01-29,30,
2010-02-05,44,
2010-02-12,46,
2010-02-19,39,
2010-02-26,45,
2010-03-05,48,
2010-03-12,36,
2010-03-19,36,
2010-03-26,44,
2010-04-02,44,
2010-04-09,41,
2010-04-16,45,
2010-04-23,39,
2010-04-30,47,
2010-05-07,43,
2010-05-14,50,
2010-05-21,41,
2010-05-28,41,
2010-06-04,29,
2010-06-11,32,
2010-06-18,35,
2010-06-25,38,
2010-07-02,30,
2010-07-09,34,
2010-07-16,40,
2010-07-23,33,
2010-07-30,36,
2010-08-06,42,
2010-08-13,42,
2010-08-20,33,
2010-08-27,37,
2010-09-03,29,
2010-09-10,32,
2010-09-17,30,
2010-09-24,39,
2010-10-01,37,
2010-10-08,44,
2010-10-15,41,
2010-10-22,36,
2010-10-29,37,
2010-11-05,46,
2010-11-12,35,
2010-11-19,43,
2010-11-26,36,
2010-12-03,33,
2010-12-10,38,
2010-12-17,38,
2010-12-24,34,
2010-12-31,34,
2011-01-07,30,
2011-01-14,43,
2011-01-21,41,
2011-01-28,43,
2011-02-04,38,
2011-02-11,35,
2011-02-18,32,
2011-02-25,42,
2011-03-04,40,
2011-03-11,33,
2011-03-18,34,
2011-03-25,39,
2011-04-01,39,
2011-04-08,40,
2011-04-15,37,
2011-04-22,33,
2011-04-29,26,
2011-05-06,38,
2011-05-13,40,
2011-05-20,35,
2011-05-27,32,
2011-06-03,35,
2011-06-10,25,
2011-06-17,47,
2011-06-24,29,
2011-07-01,33,
2011-07-08,35,
2011-07-15,28,
2011-07-22,36,
2011-07-29,41,
2011-08-05,36,
2011-08-12,37,
2011-08-19,40,
2011-08-26,33,
2011-09-02,30,
2011-09-09,35,
2011-09-16,36,
2011-09-23,34,
2011-09-30,29,
2011-10-07,31,
2011-10-14,36,
2011-10-21,35,
2011-10-28,28,
2011-11-04,31,
2011-11-11,36,
2011-11-18,24,
2011-11-25,24,
2011-12-02,35,
2011-12-09,29,
2011-12-16,26,
2011-12-23,28,
2011-12-30,32,
2012-01-06,30,
2012-01-13,33,
2012-01-20,32,
2012-01-27,41,
2012-02-03,30,
2012-02-10,32,
2012-02-17,30,
2012-02-24,41,
2012-03-02,36,
2012-03-09,29,
2012-03-16,35,
2012-03-23,35,
2012-03-30,36,
2012-04-06,36,
2012-04-13,36,
2012-04-20,36,
2012-04-27,28,
2012-05-04,36,
2012-05-11,33,
2012-05-18,34,
2012-05-25,40,
2012-06-01,34,
2012-06-08,33,
2012-06-15,33,
2012-06-22,31,
2012-06-29,28,
2012-07-06,30,
2012-07-13,35,
2012-07-20,29,
2012-07-27,32,
2012-08-03,28,
2012-08-10,31,
2012-08-17,33,
2012-08-24,36,
2012-08-31,26,
2012-09-07,34,
2012-09-14,32,
2012-09-21,28,
2012-09-28,32,
2012-10-05,29,
2012-10-12,31,
2012-10-19,29,
2012-10-26,34,
2012-11-02,30,
2012-11-09,31,
2012-11-16,33,
2012-11-23,32,
2012-11-30,30,
2012-12-07,32,
2012-12-14,31,
2012-12-21,24,
2012-12-28,25,
2013-01-04,29,
2013-01-11,29,
2013-01-18,31,
2013-01-25,32,
2013-02-01,70,31.01
2013-02-08,47,33.05
2013-02-15,46,33.98
2013-02-22,42,32.59
2013-03-01,33,34.60
2013-03-08,33,34.09
2013-03-15,39,33.44
2013-03-22,99,33.12
2013-03-29,42,
2013-04-05,36,31.96
2013-04-12,41,33.23
2013-04-19,36,32.71
2013-04-26,35,32.64
2013-05-03,33,33.21
2013-05-10,39,33.18
2013-05-17,30,33.90
2013-05-24,40,33.46
2013-05-31,41,32.00
2013-06-07,56,31.50
2013-06-14,54,30.80
2013-06-21,47,30.60
2013-06-28,38,30.89
2013-07-05,35,30.17
2013-07-12,31,31.35
2013-07-19,31,30.24
2013-07-26,27,30.43
2013-08-02,33,30.94
2013-08-09,36,30.91
2013-08-16,33,30.00
2013-08-23,42,30.20
2013-08-30,35,29.15
2013-09-06,25,30.61
2013-09-13,37,31.05
2013-09-20,33,32.19
2013-09-27,27,31.15
2013-10-04,33,32.05
2013-10-11,32,32.40
2013-10-18,35,33.22
2013-10-25,32,32.47
2013-11-01,31,31.84
2013-11-08,32,31.59
2013-11-15,36,31.81
2013-11-22,29,31.36
2013-11-29,30,31.15
2013-12-06,35,31.54
2013-12-13,30,31.58
2013-12-20,28,32.38
2013-12-27,24,32.67
2014-01-03,27,32.05
2014-01-10,27,32.54
2014-01-17,36,31.73
2014-01-24,38,31.46
2014-01-31,30,30.36
2014-02-07,34,30.70
2014-02-14,35,29.88
2014-02-21,32,29.61
2014-02-28,31,31.02
2014-03-07,34,30.58
2014-03-14,29,29.42
2014-03-21,33,29.26
2014-03-28,31,29.01
2014-04-04,35,29.32
2014-04-11,36,28.40
2014-04-18,32,
2014-04-25,31,30.16
2014-05-02,36,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
