Date,Phillips 66,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,
2004-02-13,0,
2004-02-20,0,
2004-02-27,0,
2004-03-05,0,
2004-03-12,0,
2004-03-19,64,
2004-03-26,51,
2004-04-02,51,
2004-04-09,0,
2004-04-16,0,
2004-04-23,0,
2004-04-30,0,
2004-05-07,0,
2004-05-14,0,
2004-05-21,0,
2004-05-28,45,
2004-06-04,0,
2004-06-11,0,
2004-06-18,0,
2004-06-25,0,
2004-07-02,0,
2004-07-09,0,
2004-07-16,0,
2004-07-23,39,
2004-07-30,46,
2004-08-06,53,
2004-08-13,61,
2004-08-20,35,
2004-08-27,35,
2004-09-03,35,
2004-09-10,39,
2004-09-17,40,
2004-09-24,41,
2004-10-01,42,
2004-10-08,59,
2004-10-15,39,
2004-10-22,37,
2004-10-29,37,
2004-11-05,44,
2004-11-12,56,
2004-11-19,51,
2004-11-26,51,
2004-12-03,45,
2004-12-10,48,
2004-12-17,52,
2004-12-24,47,
2004-12-31,47,
2005-01-07,47,
2005-01-14,47,
2005-01-21,41,
2005-01-28,35,
2005-02-04,33,
2005-02-11,33,
2005-02-18,48,
2005-02-25,35,
2005-03-04,35,
2005-03-11,28,
2005-03-18,38,
2005-03-25,33,
2005-04-01,49,
2005-04-08,28,
2005-04-15,28,
2005-04-22,28,
2005-04-29,32,
2005-05-06,26,
2005-05-13,34,
2005-05-20,27,
2005-05-27,50,
2005-06-03,25,
2005-06-10,46,
2005-06-17,32,
2005-06-24,43,
2005-07-01,43,
2005-07-08,43,
2005-07-15,43,
2005-07-22,40,
2005-07-29,35,
2005-08-05,35,
2005-08-12,24,
2005-08-19,27,
2005-08-26,36,
2005-09-02,53,
2005-09-09,22,
2005-09-16,24,
2005-09-23,26,
2005-09-30,35,
2005-10-07,34,
2005-10-14,42,
2005-10-21,41,
2005-10-28,34,
2005-11-04,31,
2005-11-11,40,
2005-11-18,62,
2005-11-25,30,
2005-12-02,28,
2005-12-09,29,
2005-12-16,19,
2005-12-23,21,
2005-12-30,29,
2006-01-06,22,
2006-01-13,24,
2006-01-20,23,
2006-01-27,35,
2006-02-03,23,
2006-02-10,29,
2006-02-17,20,
2006-02-24,27,
2006-03-03,32,
2006-03-10,38,
2006-03-17,23,
2006-03-24,22,
2006-03-31,29,
2006-04-07,34,
2006-04-14,29,
2006-04-21,35,
2006-04-28,41,
2006-05-05,32,
2006-05-12,34,
2006-05-19,28,
2006-05-26,25,
2006-06-02,28,
2006-06-09,29,
2006-06-16,29,
2006-06-23,30,
2006-06-30,26,
2006-07-07,30,
2006-07-14,32,
2006-07-21,36,
2006-07-28,26,
2006-08-04,22,
2006-08-11,51,
2006-08-18,24,
2006-08-25,28,
2006-09-01,32,
2006-09-08,26,
2006-09-15,31,
2006-09-22,19,
2006-09-29,36,
2006-10-06,40,
2006-10-13,42,
2006-10-20,41,
2006-10-27,33,
2006-11-03,24,
2006-11-10,27,
2006-11-17,36,
2006-11-24,32,
2006-12-01,25,
2006-12-08,29,
2006-12-15,21,
2006-12-22,30,
2006-12-29,32,
2007-01-05,37,
2007-01-12,37,
2007-01-19,30,
2007-01-26,32,
2007-02-02,24,
2007-02-09,33,
2007-02-16,22,
2007-02-23,33,
2007-03-02,22,
2007-03-09,36,
2007-03-16,24,
2007-03-23,31,
2007-03-30,27,
2007-04-06,19,
2007-04-13,24,
2007-04-20,36,
2007-04-27,25,
2007-05-04,30,
2007-05-11,28,
2007-05-18,34,
2007-05-25,36,
2007-06-01,33,
2007-06-08,24,
2007-06-15,29,
2007-06-22,21,
2007-06-29,28,
2007-07-06,29,
2007-07-13,29,
2007-07-20,32,
2007-07-27,29,
2007-08-03,34,
2007-08-10,32,
2007-08-17,22,
2007-08-24,26,
2007-08-31,27,
2007-09-07,34,
2007-09-14,30,
2007-09-21,19,
2007-09-28,24,
2007-10-05,40,
2007-10-12,32,
2007-10-19,36,
2007-10-26,28,
2007-11-02,37,
2007-11-09,26,
2007-11-16,32,
2007-11-23,37,
2007-11-30,42,
2007-12-07,23,
2007-12-14,19,
2007-12-21,29,
2007-12-28,23,
2008-01-04,23,
2008-01-11,32,
2008-01-18,26,
2008-01-25,26,
2008-02-01,34,
2008-02-08,32,
2008-02-15,20,
2008-02-22,27,
2008-02-29,30,
2008-03-07,27,
2008-03-14,23,
2008-03-21,20,
2008-03-28,33,
2008-04-04,29,
2008-04-11,22,
2008-04-18,23,
2008-04-25,23,
2008-05-02,22,
2008-05-09,22,
2008-05-16,33,
2008-05-23,32,
2008-05-30,25,
2008-06-06,29,
2008-06-13,29,
2008-06-20,17,
2008-06-27,28,
2008-07-04,31,
2008-07-11,29,
2008-07-18,27,
2008-07-25,26,
2008-08-01,30,
2008-08-08,26,
2008-08-15,29,
2008-08-22,29,
2008-08-29,28,
2008-09-05,20,
2008-09-12,18,
2008-09-19,21,
2008-09-26,28,
2008-10-03,30,
2008-10-10,27,
2008-10-17,41,
2008-10-24,30,
2008-10-31,35,
2008-11-07,40,
2008-11-14,36,
2008-11-21,27,
2008-11-28,29,
2008-12-05,34,
2008-12-12,22,
2008-12-19,20,
2008-12-26,14,
2009-01-02,22,
2009-01-09,20,
2009-01-16,23,
2009-01-23,28,
2009-01-30,25,
2009-02-06,21,
2009-02-13,25,
2009-02-20,27,
2009-02-27,13,
2009-03-06,21,
2009-03-13,31,
2009-03-20,17,
2009-03-27,17,
2009-04-03,22,
2009-04-10,17,
2009-04-17,22,
2009-04-24,21,
2009-05-01,20,
2009-05-08,24,
2009-05-15,21,
2009-05-22,20,
2009-05-29,28,
2009-06-05,26,
2009-06-12,24,
2009-06-19,17,
2009-06-26,22,
2009-07-03,23,
2009-07-10,19,
2009-07-17,25,
2009-07-24,23,
2009-07-31,23,
2009-08-07,18,
2009-08-14,23,
2009-08-21,24,
2009-08-28,16,
2009-09-04,18,
2009-09-11,13,
2009-09-18,15,
2009-09-25,19,
2009-10-02,25,
2009-10-09,23,
2009-10-16,27,
2009-10-23,35,
2009-10-30,35,
2009-11-06,33,
2009-11-13,32,
2009-11-20,25,
2009-11-27,29,
2009-12-04,19,
2009-12-11,21,
2009-12-18,17,
2009-12-25,15,
2010-01-01,25,
2010-01-08,16,
2010-01-15,25,
2010-01-22,24,
2010-01-29,22,
2010-02-05,23,
2010-02-12,18,
2010-02-19,21,
2010-02-26,26,
2010-03-05,18,
2010-03-12,35,
2010-03-19,19,
2010-03-26,20,
2010-04-02,16,
2010-04-09,20,
2010-04-16,22,
2010-04-23,22,
2010-04-30,15,
2010-05-07,23,
2010-05-14,26,
2010-05-21,21,
2010-05-28,20,
2010-06-04,23,
2010-06-11,22,
2010-06-18,28,
2010-06-25,21,
2010-07-02,22,
2010-07-09,24,
2010-07-16,23,
2010-07-23,28,
2010-07-30,18,
2010-08-06,20,
2010-08-13,22,
2010-08-20,25,
2010-08-27,21,
2010-09-03,19,
2010-09-10,20,
2010-09-17,22,
2010-09-24,21,
2010-10-01,25,
2010-10-08,23,
2010-10-15,25,
2010-10-22,39,
2010-10-29,37,
2010-11-05,35,
2010-11-12,29,
2010-11-19,29,
2010-11-26,27,
2010-12-03,23,
2010-12-10,20,
2010-12-17,21,
2010-12-24,17,
2010-12-31,19,
2011-01-07,20,
2011-01-14,22,
2011-01-21,23,
2011-01-28,21,
2011-02-04,26,
2011-02-11,25,
2011-02-18,23,
2011-02-25,21,
2011-03-04,19,
2011-03-11,33,
2011-03-18,20,
2011-03-25,23,
2011-04-01,22,
2011-04-08,20,
2011-04-15,23,
2011-04-22,26,
2011-04-29,23,
2011-05-06,27,
2011-05-13,30,
2011-05-20,30,
2011-05-27,24,
2011-06-03,28,
2011-06-10,26,
2011-06-17,26,
2011-06-24,24,
2011-07-01,25,
2011-07-08,22,
2011-07-15,27,
2011-07-22,27,
2011-07-29,25,
2011-08-05,20,
2011-08-12,27,
2011-08-19,34,
2011-08-26,24,
2011-09-02,28,
2011-09-09,17,
2011-09-16,19,
2011-09-23,23,
2011-09-30,25,
2011-10-07,27,
2011-10-14,30,
2011-10-21,38,
2011-10-28,37,
2011-11-04,39,
2011-11-11,39,
2011-11-18,37,
2011-11-25,31,
2011-12-02,28,
2011-12-09,28,
2011-12-16,24,
2011-12-23,26,
2011-12-30,25,
2012-01-06,26,
2012-01-13,26,
2012-01-20,27,
2012-01-27,27,
2012-02-03,23,
2012-02-10,30,
2012-02-17,30,
2012-02-24,29,
2012-03-02,26,
2012-03-09,41,
2012-03-16,28,
2012-03-23,27,
2012-03-30,33,
2012-04-06,29,
2012-04-13,36,37.00
2012-04-20,35,36.32
2012-04-27,31,34.11
2012-05-04,100,30.16
2012-05-11,65,31.83
2012-05-18,54,31.38
2012-05-25,48,31.30
2012-06-01,44,29.92
2012-06-08,50,32.12
2012-06-15,47,34.90
2012-06-22,49,34.16
2012-06-29,47,33.24
2012-07-06,43,33.37
2012-07-13,51,34.94
2012-07-20,54,35.32
2012-07-27,48,36.52
2012-08-03,50,39.67
2012-08-10,45,40.00
2012-08-17,64,42.77
2012-08-24,50,41.36
2012-08-31,56,42.00
2012-09-07,55,44.26
2012-09-14,60,46.73
2012-09-21,57,46.82
2012-09-28,57,46.37
2012-10-05,54,46.02
2012-10-12,56,43.92
2012-10-19,62,44.64
2012-10-26,67,47.50
2012-11-02,76,46.21
2012-11-09,67,47.41
2012-11-16,58,45.77
2012-11-23,45,49.82
2012-11-30,47,52.37
2012-12-07,45,52.34
2012-12-14,44,53.47
2012-12-21,37,52.16
2012-12-28,29,50.57
2013-01-04,42,53.14
2013-01-11,47,50.58
2013-01-18,44,55.07
2013-01-25,52,56.81
2013-02-01,58,62.75
2013-02-08,48,64.02
2013-02-15,42,64.17
2013-02-22,43,64.11
2013-03-01,47,63.90
2013-03-08,46,66.03
2013-03-15,57,64.15
2013-03-22,50,67.55
2013-03-29,37,
2013-04-05,48,62.31
2013-04-12,48,60.67
2013-04-19,45,57.84
2013-04-26,42,61.60
2013-05-03,52,62.18
2013-05-10,53,61.38
2013-05-17,48,65.46
2013-05-24,54,65.47
2013-05-31,48,66.57
2013-06-07,47,65.87
2013-06-14,51,63.81
2013-06-21,50,59.25
2013-06-28,62,58.91
2013-07-05,48,57.24
2013-07-12,55,59.09
2013-07-19,58,57.49
2013-07-26,52,59.00
2013-08-02,51,58.41
2013-08-09,52,58.92
2013-08-16,50,56.30
2013-08-23,43,58.11
2013-08-30,55,57.10
2013-09-06,51,57.42
2013-09-13,50,57.13
2013-09-20,47,57.93
2013-09-27,53,58.53
2013-10-04,59,59.17
2013-10-11,60,59.93
2013-10-18,58,63.48
2013-10-25,66,63.40
2013-11-01,58,64.13
2013-11-08,60,65.36
2013-11-15,63,67.10
2013-11-22,55,68.48
2013-11-29,42,69.61
2013-12-06,40,71.24
2013-12-13,41,71.60
2013-12-20,44,74.03
2013-12-27,31,74.75
2014-01-03,57,76.29
2014-01-10,52,78.00
2014-01-17,50,76.02
2014-01-24,48,74.44
2014-01-31,53,73.09
2014-02-07,52,74.28
2014-02-14,45,75.93
2014-02-21,47,74.95
2014-02-28,49,74.86
2014-03-07,48,78.08
2014-03-14,57,78.69
2014-03-21,46,77.95
2014-03-28,40,76.65
2014-04-04,52,79.57
2014-04-11,45,76.75
2014-04-18,47,
2014-04-25,46,82.59
2014-05-02,47,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
